,ID,plist_num,plist1,plist2,plist3,plist4,plist5
126,_IgyaD7vOOA,2,Statistics Fundamentals,StatQuest,,,
127,_L39rN6gz7Y,4,#66DaysOfData,CART - Classification And Regression Trees,Machine Learning,StatQuest,
128,_UVHneBUBW0,1,High Throughput Sequencing,,,,
129,aOOaGLa8s4c,2,#66DaysOfData,StatQuest,,,
130,aVvTVYi5vBk,1,Original Songs,,,,
131,adx4fsdwpfM,1,Original Songs,,,,
132,arSkMA2uLFU,1,Original Songs,,,,
133,azXCzI57Yfc,3,#66DaysOfData,Machine Learning,StatQuest,,
134,bTs-QA2oJSE,1,StatQuest,,,,
135,bsZGt-caXO4,2,Statistics Fundamentals,StatQuest,,,
136,cDlNsHUBmw4,1,StatQuest,,,,
137,crLXJG-EAhk,1,StatQuest,,,,
138,ctmNq7FgbvI,3,Statistics and Machine Learning in R,Machine Learning,StatQuest,,
139,ecjN6Xpv6SE,2,Statistics Fundamentals,StatQuest,,,
140,efR1C6CvhmE,4,#66DaysOfData,Support Vector Machines,Machine Learning,StatQuest,
141,fHLhBnmwUM0,2,Statistics Fundamentals,StatQuest,,,
142,fSytzGwwBVw,3,#66DaysOfData,Machine Learning,StatQuest,,
143,fU2PuYKsr6M,1,StatQuest,,,,
144,fglJIFv08hs,1,Recipes From My Kitchen,,,,
145,g9c66TUylZ4,4,#66DaysOfData,CART - Classification And Regression Trees,Machine Learning,StatQuest,
146,gKnfP2_Xdpo,2,High Throughput Sequencing,StatQuest,,,
147,hRdBqO4FFDs,1,Original Songs,,,,
148,hokALdIst8k,3,Statistics and Machine Learning in R,Linear Regression and Linear Models,StatQuest,,
149,i4iUvjsGCMc,3,Machine Learning,Statistics Fundamentals,StatQuest,,
150,ilUbD7EoQnk,2,#66DaysOfData,StatQuest,,,
151,iyn2zdALii8,4,#66DaysOfData,Neural Networks / Deep Learning,Machine Learning,StatQuest,
152,jxuNLH5dXCs,4,#66DaysOfData,Gradient Boost,Machine Learning,StatQuest,
153,kGIIJ8rIrfs,1,Original Songs,,,,
154,kLQD8EJmnx8,1,Original Songs,,,,
155,lrR9odYNNzs,1,Original Songs,,,,
156,nk2CQITm_eo,5,#66DaysOfData,High Throughput Sequencing,Machine Learning,Linear Regression and Linear Models,StatQuest
157,nkWGmaYRues,2,High Throughput Sequencing,StatQuest,,,
158,nnBJeb_I-q8,2,Statistics Fundamentals,StatQuest,,,
159,nuumjAsHTxk,1,Original Songs,,,,
160,oI3hZJqXJuc,3,#66DaysOfData,Statistics Fundamentals,StatQuest,,
161,oMtDyOn2TCc,2,High Throughput Sequencing,StatQuest,,,
162,oRrKeUCEbq8,3,XGBoost,Machine Learning,StatQuest,,
163,oRvgq966yZg,3,#66DaysOfData,Machine Learning,StatQuest,,
164,ojtBwt46otk,1,StatQuest,,,,
165,okjYjClSjOg,2,Statistics Fundamentals,StatQuest,,,
166,p3T-_LMrvBc,3,#66DaysOfData,Statistics Fundamentals,StatQuest,,
167,pGAUHhLYp5Q,4,Statistics and Machine Learning in R,High Throughput Sequencing,Machine Learning,StatQuest,
168,pYxNSUDSFH4,3,#66DaysOfData,Statistics Fundamentals,StatQuest,,
169,q90UDEgYqeI,2,CART - Classification And Regression Trees,Machine Learning,,,
170,qBigTkBLU6g,3,#66DaysOfData,Statistics Fundamentals,StatQuest,,
171,qcvAqAH60Yw,3,Statistics and Machine Learning in R,Machine Learning,StatQuest,,
172,qtaqvPAeEJY,2,Statistics Fundamentals,StatQuest,,,
173,rCfv8CfIhgM,1,Original Songs,,,,
174,rzFX5NWojp0,3,#66DaysOfData,Statistics Fundamentals,StatQuest,,
175,sDv4f4s2SB8,4,#66DaysOfData,Neural Networks / Deep Learning,Machine Learning,StatQuest,
176,sHRBg6BhKjI,2,Statistics Fundamentals,StatQuest,,,
177,sQ870aTKqiM,3,Random Forests,Machine Learning,StatQuest,,
178,sunUKFXMHGk,1,StatQuest,,,,
179,tjLaxniTPmE,1,Original Songs,,,,
180,tlf6wYJrwKY,2,High Throughput Sequencing,StatQuest,,,
181,u1cc1r_Y7M0,4,Statistics and Machine Learning in R,High Throughput Sequencing,Linear Regression and Linear Models,StatQuest,
182,uHK1-Q8cKAw,1,StatQuest,,,,
183,udyAvvaMjfM,2,High Throughput Sequencing,StatQuest,,,
184,vMh0zPT0tLI,3,#66DaysOfData,Machine Learning,StatQuest,,
185,vN5cNN2-HWE,4,#66DaysOfData,Logistic Regression,Machine Learning,StatQuest,
186,vP06aMoz4v8,3,#66DaysOfData,Machine Learning,StatQuest,,
187,vemZtEM63GY,3,#66DaysOfData,Statistics Fundamentals,StatQuest,,
188,vikkiwjQqfU,4,#66DaysOfData,Machine Learning,Statistics Fundamentals,StatQuest,
189,wl1myxrtQHQ,4,#66DaysOfData,Neural Networks / Deep Learning,Machine Learning,StatQuest,
190,wpNl-JwwplA,3,CART - Classification And Regression Trees,Machine Learning,StatQuest,,
191,xBEh66V9gZo,4,#66DaysOfData,Neural Networks / Deep Learning,Machine Learning,StatQuest,
192,xOOrxD92Wt4,1,Original Songs,,,,
193,xZ_z8KWkhXE,2,Statistics Fundamentals,StatQuest,,,
194,xxFYro8QuXA,3,Logistic Regression,Machine Learning,StatQuest,,
195,yIYKR4sgzI8,4,#66DaysOfData,Logistic Regression,Machine Learning,StatQuest,
196,yMYcH8-OfJk,1,Recipes From My Kitchen,,,,
197,yQhTtdq_y9M,3,#66DaysOfData,Statistics Fundamentals,StatQuest,,
198,zITIFTsivN8,4,#66DaysOfData,Machine Learning,Linear Regression and Linear Models,StatQuest,
199,zXEvFLj2880,1,Original Songs,,,,
